"city","年份","第二产业.万元.","人均生产总值.按常住人口计算..元.","小学在校学生数","小学教职工人数","进口总值.万美元.","国内旅游.万人次.","增值税","一般公共服务支出","流动电话用户数目.万户.","score"
"东莞",2010,23130013,53959,552377,28298,517.4022,1924,626301,269505,1421.77,27.1144677908679
"东莞",2011,26135683,57526,578279,28420,568.9511,2258,719263,326164,1545.98,31.7463892936809
"东莞",2012,27132746,57633,608118,28745,593.4981,2329,830244,361982,1797.75,34.0254230557164
"东莞",2013,29837208,60843,659138,29527,622.0796,2408,1037248,394668,1850.39,39.7747383111394
"东莞",2014,32561825,63065,687269,31290,654.6128,2435,1240962,395318,1763.09,42.2147982974624
"东莞",2015,34790502,66810,719263,33427,639.547,2826,1421654,470871,1756.75,44.2991266192069
"东莞",2016,38594210,72028,738686,35959,732.7879,3392,1659498,636650,1575.08,47.6330449350537
"东莞",2017,44165319,78637,765120,39761,773.1165,3738,2047853,644053,1827.36,50.4836926278527
"东莞",2018,49604015,84708,803482,43120,828.8797,4032,2261881,736307,1958.2,53.5778641491711
"东莞",2019,52989309,90696,837399,45726,750.6644,4344,2312510,859551,1716.02,57.2378915414316
"东莞",2020,51930901,92176,842240,47831,725.608,3852,2286633,893751,1552.33,53.2183887429205
"佛山",2011,39285815.12,84130.2784,445475,22167,218.0353,855.52,619265,602537,900.02,6.79563733125761
"佛山",2012,41786114.94,85288.99256,452779,21416,209.0809,912.01,661429,682877,1050.68,17.1031615173248
"佛山",2013,43763853.14,87193.62593,463667,21631,214.1137,984.2045,784479,743097,1238.51,25.3443630332884
"佛山",2014,47480886.82,89742.46619,474382,22112,220.9752,1044.85,922049,786238,1265.12,23.3854863265278
"佛山",2015,50033539.58,94607.72073,490146,22927,175.07,1115.6606,990869,865120,1272.44,25.0668819808413
"佛山",2016,53113316.56,100698.7411,512455,23644,152.04,1211.29,1212255,910339,1196.47,28.5076136774975
"佛山",2017,54656989.09,105728.7471,543598,26873,177.77,1351.72,1521648,1140909,1167.43,30.2575790609384
"佛山",2018,56635110,109272.2091,580066,28619,162.0596417,1538.42,1596247,1232680,1299.97,33.0959764826649
"佛山",2019,60885355,114914.132,616570,30463,159.7869456,1831.7,1661715,1352691,1288.33,34.3193333602074
"佛山",2020,60952966.87,114156.7997,638742,31956,134.54,1746.54,1476534,1322527,1179.45,33.7523343489913
"广州",2011,46326780,93224,819800,49000,596.94,3816.16,1573830,1371273,1971.24,49.1330858214559
"广州",2012,47731922,95550,822600,49600,582.52,4017.36,1758311,1396058,2367.39,55.3488471624037
"广州",2013,53184480,104235,859300,49000,560.89,4273.72,2216017,1518341,2795.79,59.927991043597
"广州",2014,56478499,107528,900100,51200,578.77,4546.75,2536757,1366050,2905.44,64.401405530985
"广州",2015,57771661,111060,937900,53100,527.01,4854.37,2692413,1242272,2976.66,60.9143231904955
"广州",2016,58134525,113400,968500,56000,511.32,5078.69,3093000,1750800,2782.68,65.9836240739788
"广州",2017,59006069,116051,1004700,58800,579.3,5375.14,4087600,2082400,2705.26,71.8629229018679
"广州",2018,61099495,118510.5716,1068500,61200,636.55,5631.92,4387900,2378900,3198.74,77.5930099791978
"广州",2019,65094018.65,131399.6152,1104700,64200,687.96,5873.72,4299600,2874800,3200.02,82.9531114099571
"广州",2020,65903908.12,135047.174,1125100,67600,593.94,3972.86,4055000,3178800,2978.47,80.6527234299483
